fold,Accuracy,Precision,Recall,F1-score,AUC
Fold 1,0.945945945945946,0.946393762183236,0.946103896103896,0.9459415584415584,0.9717532467532468
Fold 1 Std,0.0253586262941852,0.0234321090994847,0.0268793244241963,0.025800207799302,0.0129387804950917
Fold 2,0.918918918918919,0.9207872478854912,0.9207872478854912,0.918918918918919,0.991216655823032
Fold 2 Std,0.0291161985441261,0.0265757556937004,0.0288256591336155,0.0290659818275792,0.0218044065259811
Fold 3,0.9454545454545454,0.9462864721485412,0.94510582010582,0.945382323733863,0.9758597883597884
Fold 3 Std,0.0116895287759852,0.0126210294104156,0.0117417504261305,0.0119092241251823,0.0097316028066891
Fold 4,0.9272727272727272,0.9285004965243298,0.9285004965243298,0.9272727272727272,0.9814630916914928
Fold 4 Std,0.0195790698467853,0.0209543018343195,0.0159787117551283,0.01866377096519,0.0362156093238836
Fold 5,0.8818181818181818,0.8892663043478262,0.8793445878848063,0.8806244260789715,0.9781529294935452
Fold 5 Std,0.0252422295855325,0.0275051314174504,0.0251681161525533,0.0261727063020543,0.0240942086316384
Average,0.9238820638820636,0.9262468566178848,0.9239684097008688,0.923627990889208,0.979689142424221
Std,0.0234848309909273,0.0210234700323851,0.0243257680325561,0.0238994240221151,0.0065731697678117
